sample,n,study,area.cov,tmb
TCGA-13-0801,1157,TCGA,48774235,23.72
TCGA-13-0897,268,TCGA,17490679,15.32
TCGA-13-0913,363,TCGA,53989183,6.72
TCGA-09-0369,354,TCGA,52493088,6.74
TCGA-13-0727,190,TCGA,19928275,9.53
TCGA-24-1428,287,TCGA,65316155,4.39
TCGA-23-1022,486,TCGA,30177773,16.1
TCGA-23-1107,541,TCGA,23116976,23.4
TCGA-10-0934,389,TCGA,44470166,8.75
TCGA-13-0924,690,TCGA,32020991,21.55
TCGA-04-1343,445,TCGA,46529522,9.56
TCGA-23-1023,436,TCGA,54917586,7.94
TCGA-23-1110,790,TCGA,23857326,33.11
TCGA-04-1332,272,TCGA,40889363,6.65
TCGA-20-0987,271,TCGA,27827820,9.74
TCGA-09-0364,244,TCGA,45262073,5.39
TCGA-24-1416,227,TCGA,18559688,12.23
TCGA-24-1427,270,TCGA,51127331,5.28
TCGA-13-1403,216,TCGA,48016585,4.5
TCGA-25-1318,308,TCGA,50099564,6.15
TCGA-25-1326,165,TCGA,27559280,5.99
TCGA-13-1485,250,TCGA,44269672,5.65
TCGA-24-1417,314,TCGA,52493517,5.98
TCGA-24-1474,156,TCGA,18697959,8.34
TCGA-24-1563,395,TCGA,45474010,8.69
TCGA-09-1667,112,TCGA,26261630,4.26
TCGA-24-1557,337,TCGA,40781419,8.26
TCGA-13-0720,193,TCGA,37641699,5.13
TCGA-24-0982,241,TCGA,35705152,6.75
TCGA-04-1357,234,TCGA,40510040,5.78
TCGA-24-1418,106,TCGA,26102738,4.06
TCGA-23-1120,352,TCGA,52836564,6.66
TCGA-13-0893,243,TCGA,44842874,5.42
TCGA-13-1405,144,TCGA,29997550,4.8
TCGA-24-1419,225,TCGA,51216991,4.39
TCGA-23-1122,306,TCGA,52652809,5.81
TCGA-24-1104,268,TCGA,47865769,5.6
TCGA-04-1361,347,TCGA,49660515,6.99
TCGA-13-1407,338,TCGA,48429170,6.98
TCGA-13-1498,360,TCGA,45390034,7.93
TCGA-13-1509,229,TCGA,23923315,9.57
TCGA-25-1626,263,TCGA,56889599,4.62
TCGA-36-1568,252,TCGA,51129524,4.93
TCGA-25-1628,115,TCGA,29908111,3.85
TCGA-36-1570,217,TCGA,53590390,4.05
TCGA-36-1581,347,TCGA,67983792,5.1
TCGA-09-1673,117,TCGA,28996527,4.03
TCGA-20-1687,120,TCGA,17324651,6.93
TCGA-24-1430,248,TCGA,47943531,5.17
TCGA-24-1467,211,TCGA,46301101,4.56
TCGA-24-1549,111,TCGA,23476589,4.73
TCGA-24-1564,255,TCGA,52754198,4.83
TCGA-09-1668,265,TCGA,53846473,4.92
TCGA-24-1558,249,TCGA,55838796,4.46
TCGA-25-1630,310,TCGA,39754371,7.8
TCGA-36-1571,89,TCGA,24485890,3.63
TCGA-57-1582,263,TCGA,41262793,6.37
TCGA-24-1431,209,TCGA,41848909,4.99
TCGA-04-1514,120,TCGA,26371224,4.55
TCGA-25-1328,237,TCGA,45516012,5.21
TCGA-13-1487,279,TCGA,32968926,8.46
TCGA-13-1496,258,TCGA,17599017,14.66
TCGA-13-1506,273,TCGA,38116789,7.16
TCGA-24-1103,405,TCGA,37188637,10.89
TCGA-04-1519,201,TCGA,43585669,4.61
TCGA-25-1312,225,TCGA,47192081,4.77
TCGA-25-1320,245,TCGA,60164510,4.07
TCGA-25-1329,264,TCGA,59854993,4.41
TCGA-13-1488,342,TCGA,34891225,9.8
TCGA-13-1497,169,TCGA,22644897,7.46
TCGA-13-1507,272,TCGA,20321449,13.38
TCGA-25-1321,251,TCGA,57030074,4.4
TCGA-13-0905,129,TCGA,21541818,5.99
TCGA-13-1410,324,TCGA,52605970,6.16
TCGA-25-1316,125,TCGA,28277230,4.42
TCGA-25-1324,255,TCGA,61533653,4.14
TCGA-13-1483,288,TCGA,45985681,6.26
TCGA-13-1492,90,TCGA,30691996,2.93
TCGA-24-1426,339,TCGA,54747151,6.19
TCGA-24-0975,152,TCGA,20696976,7.34
TCGA-04-1350,235,TCGA,18600912,12.63
TCGA-13-0908,319,TCGA,54980849,5.8
TCGA-13-1411,277,TCGA,50049611,5.53
TCGA-25-1317,111,TCGA,23520832,4.72
TCGA-29-1783,335,TCGA,54740224,6.12
TCGA-29-1778,374,TCGA,51444243,7.27
TCGA-29-1710,344,TCGA,55066193,6.25
TCGA-29-1691,358,TCGA,49992327,7.16
TCGA-29-1697,133,TCGA,31257714,4.25
TCGA-24-2020,333,TCGA,52336704,6.36
TCGA-24-1471,167,TCGA,34249115,4.88
TCGA-09-1670,430,TCGA,30546282,14.08
TCGA-61-2113,262,TCGA,55865621,4.69
TCGA-61-2095,257,TCGA,85043840,3.02
TCGA-24-2027,147,TCGA,29568553,4.97
TCGA-31-1959,104,TCGA,15890629,6.54
TCGA-23-2081,295,TCGA,61485087,4.8
TCGA-24-2024,259,TCGA,30868306,8.39
TCGA-24-2036,275,TCGA,66252815,4.15
TCGA-61-1919,352,TCGA,41131810,8.56
TCGA-61-2110,121,TCGA,26440229,4.58
TCGA-24-2038,230,TCGA,21674681,10.61
TCGA-13-0886,725,TCGA,40297177,17.99
TCGA-61-1721,295,TCGA,39812121,7.41
TCGA-59-2363,318,TCGA,47385704,6.71
TCGA-24-0968,500,TCGA,20117557,24.85
TCGA-04-1356,178,TCGA,27394949,6.5
TCGA-10-0933,391,TCGA,19613114,19.94
TCGA-29-2428,180,TCGA,17998929,10
TCGA-25-2391,319,TCGA,54105501,5.9
TCGA-24-2035,374,TCGA,38986182,9.59
TCGA-23-2084,362,TCGA,53822821,6.73
TCGA-24-1924,173,TCGA,27062986,6.39
TCGA-24-1842,327,TCGA,49730099,6.58
TCGA-29-1776,493,TCGA,39965468,12.34
TCGA-24-1930,344,TCGA,48270031,7.13
TCGA-24-1843,196,TCGA,27546988,7.12
TCGA-29-1711,423,TCGA,44889119,9.42
TCGA-61-1907,511,TCGA,35523257,14.38
TCGA-04-1648,142,TCGA,25677476,5.53
TCGA-61-1725,208,TCGA,18230663,11.41
TCGA-29-1707,255,TCGA,51246803,4.98
TCGA-29-1703,232,TCGA,21437197,10.82
TCGA-29-1785,97,TCGA,13756663,7.05
TCGA-29-1695,127,TCGA,29650389,4.28
TCGA-20-1685,184,TCGA,32580491,5.65
TCGA-29-1699,316,TCGA,65307307,4.84
TCGA-25-1871,82,TCGA,23264415,3.52
TCGA-24-1928,283,TCGA,55646852,5.09
TCGA-36-1569,311,TCGA,55730258,5.58
TCGA-23-1111,80,TCGA,16770159,4.77
TCGA-24-1846,328,TCGA,56079624,5.85
TCGA-29-1762,175,TCGA,30499785,5.74
TCGA-24-1844,337,TCGA,52661991,6.4
